Wavelength,INOK-1,INOK-2,INOK-3,INOK-4,INOK-5,YD10B-1,YD10B-2,YD10B-3,YD10B-4,YD10B-5
11.2647,0.300257108,0.26210884,0.230798913,0.164416155,0.12306689,0.052876606,0.047238409,0.044753039,0.03485359,0.033273267
11.26485,0.300547818,0.262346316,0.230995434,0.164534838,0.123144074,0.053095546,0.047423753,0.044924169,0.034971955,0.033383813
11.265,0.300838942,0.26258411,0.231192202,0.164653646,0.123221329,0.053315798,0.047610149,0.045096243,0.035090897,0.033494886
11.26515,0.301130483,0.26282222,0.231389216,0.164772581,0.123298654,0.053537374,0.047797603,0.045269268,0.035210421,0.03360649
11.2653,0.30142244,0.263060649,0.231586477,0.164891642,0.123376051,0.053760283,0.047986124,0.045443253,0.035330529,0.033718628
11.26545,0.301714814,0.263299397,0.231783986,0.165010828,0.123453519,0.053984536,0.04817572,0.045618202,0.035451227,0.033831304
11.2656,0.302007607,0.263538463,0.231981743,0.165130142,0.123531058,0.054210143,0.048366398,0.045794125,0.035572517,0.03394452
11.26575,0.302300818,0.26377785,0.232179748,0.165249582,0.123608668,0.054437117,0.048558168,0.045971027,0.035694404,0.03405828
11.2659,0.30259445,0.264017557,0.232378002,0.165369148,0.12368635,0.054665466,0.048751037,0.046148916,0.035816891,0.034172588
11.26605,0.302888502,0.264257584,0.232576505,0.165488842,0.123764103,0.054895204,0.048945013,0.0463278,0.035939983,0.034287447
11.2662,0.303182975,0.264497934,0.232775258,0.165608663,0.123841928,0.05512634,0.049140105,0.046507685,0.036063683,0.03440286
11.26635,0.303477871,0.264738605,0.23297426,0.165728611,0.123919824,0.055358886,0.049336322,0.046688579,0.036187995,0.034518832
